iter	Logloss
0	0.692464402
1	0.6918995062
2	0.6912811744
3	0.6906193161
4	0.6900146894
5	0.6895768651
6	0.6886782778
7	0.6876689327
8	0.6873552395
9	0.6862812928
10	0.6855256841
11	0.685063148
12	0.6845953193
13	0.6836459033
14	0.6830659176
15	0.6825028419
16	0.6815515681
17	0.6809654446
18	0.6802371884
19	0.6792599148
20	0.6785537846
21	0.6778814869
22	0.6772910346
23	0.6767726332
24	0.6761561487
25	0.675574281
26	0.6747845277
27	0.6741829343
28	0.6733774081
29	0.6726749954
30	0.6719951322
31	0.6712385958
32	0.6705020748
33	0.6698531425
34	0.6691743248
35	0.6683935505
36	0.6679162957
37	0.6672156293
38	0.6667605841
39	0.6662002735
40	0.6656383791
41	0.66506633
42	0.6644044374
43	0.6640189351
44	0.6632391298
45	0.6624560306
46	0.6616712914
47	0.661084714
48	0.6605358424
49	0.6602078681
50	0.6598833942
51	0.6592002325
52	0.6587124934
53	0.6580273252
54	0.6574895981
55	0.6570124962
56	0.6561283082
57	0.6553776388
58	0.6548012756
59	0.654270041
60	0.6536212899
61	0.6532431563
62	0.6525672227
63	0.6516553537
64	0.6510951525
65	0.6500862657
66	0.6496457021
67	0.6491936212
68	0.6484567255
69	0.6480009796
70	0.647642713
71	0.6469096066
72	0.6463107245
73	0.645588795
74	0.6449766573
75	0.6444714244
76	0.6438226058
77	0.6434177453
78	0.6430218384
79	0.6426292644
80	0.6418593669
81	0.6414170331
82	0.6409700316
83	0.6401290746
84	0.6394930272
85	0.6388658054
86	0.6383915609
87	0.6377425192
88	0.6372498393
89	0.6367836117
90	0.6362306545
91	0.6357957939
92	0.6353466357
93	0.63458609
94	0.6339626786
95	0.6334803299
96	0.6327610098
97	0.6316990726
98	0.6309724437
99	0.6304622038
100	0.6300570838
101	0.6294173614
102	0.6287194315
103	0.6278991859
104	0.6273325111
105	0.6269342069
106	0.6262922635
107	0.62599332
108	0.6254989286
109	0.6249740745
110	0.6246985825
111	0.6241324255
112	0.6234290347
113	0.6231205668
114	0.62276955
115	0.6221691149
116	0.6217399018
117	0.62131327
118	0.6208150569
119	0.6202373555
120	0.6198616054
121	0.6195004223
122	0.6189538302
123	0.6185253174
124	0.6180328665
125	0.6174993735
126	0.6167279757
127	0.6162621108
128	0.6158785649
129	0.6152973587
130	0.6148576452
131	0.6142555349
132	0.6135057883
133	0.6130413422
134	0.6124251047
135	0.6120074506
136	0.6114040584
137	0.6108525542
138	0.6103210034
139	0.6098718088
140	0.609336677
141	0.6088811762
142	0.6084322413
143	0.6081050844
144	0.6076123943
145	0.6070590452
146	0.6063919166
147	0.6060472165
148	0.6054606473
149	0.6049801494
150	0.6043285055
151	0.603841658
152	0.6032048212
153	0.6026827216
154	0.6020542025
155	0.6012371244
156	0.600723411
157	0.6004061434
158	0.5998180424
159	0.5993349161
160	0.5988199407
161	0.5984513043
162	0.5980955595
163	0.5977766677
164	0.5972583921
165	0.5967504175
166	0.5962180483
167	0.5957876211
168	0.5955041423
169	0.5951187743
170	0.5945825792
171	0.5938529169
172	0.593563696
173	0.5930130835
174	0.5925206626
175	0.5922281434
176	0.5916398121
177	0.5910229701
178	0.5903647471
179	0.5898836125
180	0.5892218322
181	0.5886203374
182	0.5879191916
183	0.5874189829
184	0.5870309048
185	0.586723104
186	0.5863657433
187	0.5857508568
188	0.5852196297
189	0.5848862737
190	0.5844945333
191	0.5838889971
192	0.5831156832
193	0.5826273398
194	0.5821338303
195	0.5815596539
196	0.5810559022
197	0.580540316
198	0.5801397322
199	0.5795390447
200	0.5793816491
201	0.5788904999
202	0.5787046565
203	0.5783401051
204	0.5779679016
205	0.5773606505
206	0.5770163325
207	0.5765818719
208	0.5760953066
209	0.5754533072
210	0.5750043575
211	0.5744902253
212	0.5740819891
213	0.5736276219
214	0.573262086
215	0.5728226155
216	0.5725503064
217	0.5718066508
218	0.5713686513
219	0.5709005536
220	0.5703250184
221	0.5698522432
222	0.5692059295
223	0.5687438107
224	0.568203644
225	0.567708683
226	0.5673553406
227	0.5668639205
228	0.5662690789
229	0.5659249222
230	0.5653418633
231	0.5648405227
232	0.5645072462
233	0.5641753686
234	0.5637794359
235	0.5632305204
236	0.5629206323
237	0.5625126698
238	0.5620922424
239	0.5617148766
240	0.561402022
241	0.5610122165
242	0.5605794277
243	0.5598120952
244	0.5593692724
245	0.5591119703
246	0.5586617289
247	0.5582172861
248	0.557813599
249	0.5573767184
250	0.5570369562
251	0.5566592077
252	0.5561490516
253	0.5556076101
254	0.5552676899
255	0.5545946251
256	0.5542180797
257	0.5537351674
258	0.5532302285
259	0.5528628294
260	0.5523177718
261	0.5518781404
262	0.5514161429
263	0.5510871412
264	0.5505984001
265	0.5502181233
266	0.5498670909
267	0.5494379233
268	0.5491671964
269	0.548882249
270	0.5485801356
271	0.5483118559
272	0.5476303411
273	0.5471791867
274	0.5467038619
275	0.546389155
276	0.5457964326
277	0.5455350044
278	0.5452641804
279	0.5449611575
280	0.5446036495
281	0.5440241869
282	0.5437701137
283	0.5435302526
284	0.543262811
285	0.5428487803
286	0.5423042671
287	0.5417557361
288	0.5411827075
289	0.5409767114
290	0.5406514259
291	0.540286947
292	0.5398735196
293	0.5394440909
294	0.5391060688
295	0.5385660369
296	0.5379851012
297	0.5377325873
298	0.5374286924
299	0.536970933
300	0.5365548548
301	0.5361123752
302	0.5355487419
303	0.5350877247
304	0.53463665
305	0.5342834197
306	0.5339540426
307	0.5335059853
308	0.5330497991
309	0.5328488604
310	0.5325366386
311	0.5322520115
312	0.5316414599
313	0.5312124908
314	0.5309140526
315	0.5305667427
316	0.5300500805
317	0.5295112107
318	0.5292632175
319	0.5288401221
320	0.528171105
321	0.5277822059
322	0.5271621297
323	0.5267733692
324	0.5263006501
325	0.5259440916
326	0.5255661144
327	0.5250626169
328	0.5247782942
329	0.5244796731
330	0.5241915455
331	0.5237977273
332	0.5234713131
333	0.5231592721
334	0.52275943
335	0.5224502815
336	0.5219675503
337	0.5213777243
338	0.5210493721
339	0.5207254328
340	0.5204664306
341	0.5199760348
342	0.5194535041
343	0.5189313739
344	0.5186101803
345	0.5182743275
346	0.5179647612
347	0.5176824711
348	0.5172630913
349	0.5169185591
350	0.5163687721
351	0.516053464
352	0.5157057919
353	0.5152846757
354	0.5149102532
355	0.5145196319
356	0.5142616198
357	0.5139310005
358	0.513406062
359	0.5131064955
360	0.5125789685
361	0.5122170992
362	0.5120469324
363	0.5115473316
364	0.5112543601
365	0.510889072
366	0.5103265459
367	0.5097826021
368	0.5094800032
369	0.5090743126
370	0.5085444267
371	0.5082198571
372	0.5078165938
373	0.5074363707
374	0.5069740401
375	0.5066248968
376	0.5063234621
377	0.5060371415
378	0.5055854973
379	0.5052586842
380	0.5050478599
381	0.5046729688
382	0.5043363723
383	0.5037666485
384	0.503459139
385	0.5030056867
386	0.5025351266
387	0.5020989966
388	0.5016997655
389	0.5013206882
390	0.5009148969
391	0.5005204618
392	0.500147205
393	0.499679687
394	0.499237797
395	0.4988046027
396	0.4985306222
397	0.4980922674
398	0.4978488332
399	0.4975766043
400	0.4975612335
401	0.4970445946
402	0.4966417302
403	0.4962277929
404	0.4959515701
405	0.4956270413
406	0.4953984162
407	0.4949573057
408	0.4946509958
409	0.4942189321
410	0.493803935
411	0.4934684591
412	0.4929877341
413	0.4925356146
414	0.4922296894
415	0.491833555
416	0.4915946271
417	0.4911446931
418	0.4908342702
419	0.4903879164
420	0.4901431954
421	0.4897045552
422	0.4892503102
423	0.4889431923
424	0.4885219649
425	0.4881670922
426	0.487711629
427	0.4873903413
428	0.4870580934
429	0.4868204138
430	0.4863297348
431	0.4857969748
432	0.4854558323
433	0.4852309054
434	0.4847597423
435	0.4845338129
436	0.4841040651
437	0.4838235728
438	0.4832829041
439	0.4829707469
440	0.482567553
441	0.4823306258
442	0.4820075787
443	0.4815907544
444	0.4813516305
445	0.4809994885
446	0.480736424
447	0.4802360408
448	0.4800104715
449	0.4797506027
450	0.4794446406
451	0.4789134552
452	0.4785835622
453	0.4781692928
454	0.4777273193
455	0.4775796489
456	0.4772358758
457	0.4769513521
458	0.4766483918
459	0.4764346243
460	0.4761692843
461	0.475871507
462	0.4756425025
463	0.4752020223
464	0.4748373202
465	0.474604216
466	0.474250368
467	0.4739156795
468	0.4734873872
469	0.4732416647
470	0.4728507564
471	0.4724800803
472	0.4721787835
473	0.4718806192
474	0.4715488127
475	0.4713698833
476	0.4710955546
477	0.470780483
478	0.4705739851
479	0.4703368204
480	0.4698785168
481	0.4695663649
482	0.4691182031
483	0.4688321337
484	0.468567419
485	0.4683748797
486	0.4677860414
487	0.4674948874
488	0.4670445038
489	0.4667615883
490	0.466453016
491	0.4662709491
492	0.4659457801
493	0.4654801357
494	0.4650197926
495	0.4646502509
496	0.4642838358
497	0.4639671766
